,QUANTITYUNIT,CURRENCY,QUANTITY,BUYING_TAXAMOUNT,SALESORDERID,BUYING_GROSSAMOUNT,PRODUCTID,SALESORDERITEM,BUYING_NETAMOUNT,PARTNERID,SALES_TAXAMOUNT,SALES_NETAMOUNT,SALES_GROSSAMOUNT,DATE,DELIVERYSTATUS,EMPLOYEESID,SALESORG,SUPPLIER_PARTNERID,PRICE,PRODCATEGORYID,PRODUCTNAME,CATEGORYNAME,ADDRESSID,PARTNERNAME,REGION,CITY,LATITUDE,LONGITUDE,COUNTRY,NAME,LASTNAME,SEX,AGE,MARRIED,CHILDREN
18,EA,USD,5,312.375,500000003,2499,RC-1056,30,2186.625,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000021,2499,RC,Rennsemmel 2,Racing Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
19,EA,USD,1,49.875,500000003,399,CB-1161,40,349.125,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000033,399,CB,La Plage,Cruiser,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
20,EA,USD,10,187.5,500000003,1500,EB-1131,50,1312.5,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000026,1500,EB,Flash Drive,eBike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
21,EA,USD,3,312.375,500000003,2499,MB-1034,60,2186.625,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000015,2499,MB,Mt Discovery Ulti,Mountain Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
22,EA,USD,8,156.25,500000003,1250,DB-1082,70,1093.75,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000024,1250,DB,Capricorn,Downhill Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
23,EA,USD,10,600.0,500000003,4800,EB-1134,80,4200.0,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000029,4800,EB,Lazy Cat II,eBike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
24,EA,USD,3,99.875,500000004,799,BX-1014,10,699.125,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000006,799,BX,BMX Jump Lux II,BMX,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
25,EA,USD,2,600.0,500000004,4800,EB-1134,20,4200.0,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000029,4800,EB,Lazy Cat II,eBike,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
26,EA,USD,8,36.0,500000004,288,CB-1163,30,252.0,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000035,288,CB,La Plage Gold,Cruiser,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
27,EA,USD,6,56.125,500000004,449,BX-1013,40,392.875,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000005,449,BX,BMX Jump Lux I,BMX,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
28,EA,USD,10,312.375,500000004,2499,MB-1034,50,2186.625,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000015,2499,MB,Mt Discovery Ulti,Mountain Bike,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
29,EA,USD,2,81.125,500000004,649,MB-1031,60,567.875,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000012,649,MB,Mt Discovery B,Mountain Bike,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
30,EA,USD,10,312.375,500000004,2499,RC-1051,70,2186.625,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000016,2499,RC,Tornado I,Racing Bike,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
31,EA,USD,9,47.375,500000004,379,HB-1174,80,331.625,100000025,8960.5,62723.5,71684,2018-01-16,C,8,EMEA,100000039,379,HB,Universal Two,Hybrid Bike,1000000059,Homerun Millwork Inc.,EMEA,Jebel Ali Free Zone,25.006517000000002,55.06524399999999,DU,Penelope,Dupper,F,25,N,N
32,EA,USD,10,687.375,500000005,5499,RC-1054,10,4811.625,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000019,5499,RC,Stream II,Racing Bike,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
33,EA,USD,3,143.0,500000005,1144,CC-1021,20,1001.0,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000009,1144,CC,Cyclone Basic,Cyclo-cross Bike,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
34,EA,USD,9,499.875,500000005,3999,RC-1052,30,3499.125,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000017,3999,RC,Tornado II,Racing Bike,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
35,EA,USD,10,31.125,500000005,249,BX-1011,40,217.875,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000003,249,BX,BMX Vintage 1011,BMX,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
36,EA,USD,2,112.375,500000005,899,HB-1175,50,786.625,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000040,899,HB,Specifica,Hybrid Bike,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
37,EA,USD,8,86.125,500000005,689,RO-1002,60,602.875,100000008,13026.625,91186.375,104213,2018-01-16,C,8,EMEA,100000001,689,RO,Roady 1002,Road Bike,1000000042,Tona Bikes AG,EMEA,Marne,53.952608999999995,9.018139,DE,Penelope,Dupper,F,25,N,N
38,EA,USD,5,987.5,500000006,7900,EB-1137,10,6912.5,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000032,7900,EB,Speedeon Cross,eBike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
39,EA,USD,8,36.0,500000006,288,CB-1163,20,252.0,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000035,288,CB,La Plage Gold,Cruiser,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
40,EA,USD,7,600.0,500000006,4800,EB-1134,30,4200.0,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000029,4800,EB,Lazy Cat II,eBike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
41,EA,USD,3,149.875,500000006,1199,HB-1176,40,1049.125,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000041,1199,HB,Specifica Gold,Hybrid Bike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
42,EA,USD,6,499.875,500000006,3999,RC-1052,50,3499.125,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000017,3999,RC,Tornado II,Racing Bike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
43,EA,USD,9,375.0,500000006,3000,EB-1135,60,2625.0,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000030,3000,EB,Speedeon,eBike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
44,EA,USD,8,687.375,500000006,5499,RC-1054,70,4811.625,100000038,21748.375,152238.625,173987,2018-01-17,C,3,EMEA,100000019,5499,RC,Stream II,Racing Bike,1000000072,The Cycle Factor,EMEA,Athis-Mons,48.705234999999995,2.375049,FR,Ellis,Robertson,M,27,N,N
45,EA,USD,2,87.375,500000007,699,HB-1171,10,611.625,100000020,174.75,1223.25,1398,2018-01-19,C,4,APJ,100000036,699,HB,Star Cruise,Hybrid Bike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
46,EA,USD,10,987.5,500000008,7900,EB-1137,10,6912.5,100000028,15975.375,111827.625,127803,2018-01-20,C,3,EMEA,100000032,7900,EB,Speedeon Cross,eBike,1000000062,Palm Beach Bike World,EMEA,Dubai,24.956728,55.120385999999996,DU,Ellis,Robertson,M,27,N,N
47,EA,USD,6,150.0,500000008,1200,CC-1022,20,1050.0,100000028,15975.375,111827.625,127803,2018-01-20,C,3,EMEA,100000010,1200,CC,Cyclone Speed,Cyclo-cross Bike,1000000062,Palm Beach Bike World,EMEA,Dubai,24.956728,55.120385999999996,DU,Ellis,Robertson,M,27,N,N
48,EA,USD,10,170.125,500000008,1361,CC-1023,30,1190.875,100000028,15975.375,111827.625,127803,2018-01-20,C,3,EMEA,100000011,1361,CC,Cyclone III,Cyclo-cross Bike,1000000062,Palm Beach Bike World,EMEA,Dubai,24.956728,55.120385999999996,DU,Ellis,Robertson,M,27,N,N
49,EA,USD,7,499.875,500000008,3999,RC-1052,40,3499.125,100000028,15975.375,111827.625,127803,2018-01-20,C,3,EMEA,100000017,3999,RC,Tornado II,Racing Bike,1000000062,Palm Beach Bike World,EMEA,Dubai,24.956728,55.120385999999996,DU,Ellis,Robertson,M,27,N,N
50,EA,USD,9,99.875,500000009,799,BX-1014,10,699.125,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000006,799,BX,BMX Jump Lux II,BMX,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
51,EA,USD,3,187.5,500000009,1500,EB-1131,20,1312.5,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000026,1500,EB,Flash Drive,eBike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
52,EA,USD,7,375.0,500000009,3000,EB-1135,30,2625.0,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000030,3000,EB,Speedeon,eBike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
53,EA,USD,1,143.0,500000009,1144,CC-1021,40,1001.0,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000009,1144,CC,Cyclone Basic,Cyclo-cross Bike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
54,EA,USD,6,375.0,500000009,3000,EB-1135,50,2625.0,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000030,3000,EB,Speedeon,eBike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
55,EA,USD,10,56.125,500000009,449,BX-1013,60,392.875,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000005,449,BX,BMX Jump Lux I,BMX,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
56,EA,USD,10,187.375,500000009,1499,DB-1081,70,1311.625,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000023,1499,DB,Rooty Basic,Downhill Bike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
57,EA,USD,8,49.875,500000009,399,CB-1161,80,349.125,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000033,399,CB,La Plage,Cruiser,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
58,EA,USD,4,87.375,500000009,699,HB-1171,90,611.625,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000036,699,HB,Star Cruise,Hybrid Bike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
59,EA,USD,2,112.375,500000009,899,HB-1175,100,786.625,100000021,9887.625,69213.375,79101,2018-01-21,C,4,APJ,100000040,899,HB,Specifica,Hybrid Bike,1000000055,High Tech Sports Inc,APJ,Hyderabad,17.385758,78.467547,IN,William,Mussen,M,28,Y,Y
60,EA,USD,10,86.125,500000010,689,RO-1002,10,602.875,100000004,1290.25,9031.75,10322,2018-01-24,C,1,AMER,100000001,689,RO,Roady 1002,Road Bike,1000000038,Bike World Inc,AMER,Ocala,29.183977000000002,-82.118413,US,Derick,Magill,M,39,Y,N
61,EA,USD,3,143.0,500000010,1144,CC-1021,20,1001.0,100000004,1290.25,9031.75,10322,2018-01-24,C,1,AMER,100000009,1144,CC,Cyclone Basic,Cyclo-cross Bike,1000000038,Bike World Inc,AMER,Ocala,29.183977000000002,-82.118413,US,Derick,Magill,M,39,Y,N
62,EA,USD,8,162.375,500000011,1299,MB-1032,10,1136.625,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000013,1299,MB,Mt Discovery Drive,Mountain Bike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
63,EA,USD,3,65.625,500000011,525,RO-1001,20,459.375,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000000,525,RO,Roady 1001,Road Bike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
64,EA,USD,5,81.125,500000011,649,MB-1031,30,567.875,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000012,649,MB,Mt Discovery B,Mountain Bike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
65,EA,USD,1,39.875,500000011,319,BX-1016,40,279.125,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000008,319,BX,BMX Optima II,BMX,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
66,EA,USD,1,237.5,500000011,1900,EB-1132,50,1662.5,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000027,1900,EB,Flash Drive II,eBike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
67,EA,USD,9,375.0,500000011,3000,EB-1135,60,2625.0,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000030,3000,EB,Speedeon,eBike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
68,EA,USD,10,687.375,500000011,5499,RC-1054,70,4811.625,100000020,12427.625,86993.375,99421,2018-01-27,C,4,APJ,100000019,5499,RC,Stream II,Racing Bike,1000000054,Cycle World,APJ,Mumbai,19.31394,72.85756500000001,IN,William,Mussen,M,28,Y,Y
69,EA,USD,9,149.875,500000012,1199,HB-1176,10,1049.125,100000022,1953.75,13676.25,15630,2018-01-30,C,4,APJ,100000041,1199,HB,Specifica Gold,Hybrid Bike,1000000056,Tires On Fire,APJ,Mumbai,19.046575,72.864262,IN,William,Mussen,M,28,Y,Y
70,EA,USD,2,49.875,500000012,399,CB-1161,20,349.125,100000022,1953.75,13676.25,15630,2018-01-30,C,4,APJ,100000033,399,CB,La Plage,Cruiser,1000000056,Tires On Fire,APJ,Mumbai,19.046575,72.864262,IN,William,Mussen,M,28,Y,Y
71,EA,USD,9,56.125,500000012,449,BX-1013,30,392.875,100000022,1953.75,13676.25,15630,2018-01-30,C,4,APJ,100000005,449,BX,BMX Jump Lux I,BMX,1000000056,Tires On Fire,APJ,Mumbai,19.046575,72.864262,IN,William,Mussen,M,28,Y,Y
72,EA,USD,3,65.625,500000013,525,RO-1001,10,459.375,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000000,525,RO,Roady 1001,Road Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
73,EA,USD,7,37.375,500000013,299,BX-1015,20,261.625,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000007,299,BX,BMX Optima,BMX,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
74,EA,USD,8,249.875,500000013,1999,RC-1055,30,1749.125,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000020,1999,RC,Veloflash,Racing Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
75,EA,USD,8,249.875,500000013,1999,RC-1055,30,1749.125,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000020,1999,RC,Rennsemmel,Racing Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
76,EA,USD,5,65.625,500000013,525,RO-1001,40,459.375,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000000,525,RO,Roady 1001,Road Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
77,EA,USD,3,170.125,500000013,1361,CC-1023,50,1190.875,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000011,1361,CC,Cyclone III,Cyclo-cross Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
78,EA,USD,8,281.25,500000013,2250,EB-1133,60,1968.75,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000028,2250,EB,Lazy Cat,eBike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
79,EA,USD,9,150.0,500000013,1200,CC-1022,70,1050.0,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000010,1200,CC,Cyclone Speed,Cyclo-cross Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
80,EA,USD,6,312.375,500000013,2499,RC-1051,80,2186.625,100000031,8770.25,61391.75,70162,2018-02-02,C,11,AMER,100000016,2499,RC,Tornado I,Racing Bike,1000000065,Ebike 36,AMER,Cooksville,43.570089,-79.609911,CA,Nelson,Wilkens,M,22,N,N
81,EA,USD,3,49.875,500000014,399,CB-1161,10,349.125,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000033,399,CB,La Plage,Cruiser,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
82,EA,USD,4,156.25,500000014,1250,DB-1082,20,1093.75,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000024,1250,DB,Capricorn,Downhill Bike,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
83,EA,USD,10,187.375,500000014,1499,DB-1081,30,1311.625,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000023,1499,DB,Rooty Basic,Downhill Bike,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
84,EA,USD,3,31.125,500000014,249,BX-1011,40,217.875,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000003,249,BX,BMX Vintage 1011,BMX,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
85,EA,USD,7,150.0,500000014,1200,CC-1022,50,1050.0,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000010,1200,CC,Cyclone Speed,Cyclo-cross Bike,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
86,EA,USD,6,50.0,500000014,400,CB-1162,60,350.0,100000033,4091.75,28642.25,32734,2018-03-02,C,11,AMER,100000034,400,CB,La Plage Limited,Cruiser,1000000067,Move by Bike,AMER,Schefferville,54.809261,-66.815519,CA,Nelson,Wilkens,M,22,N,N
87,EA,USD,2,149.875,500000015,1199,DB-1083,10,1049.125,100000032,2649.25,18544.75,21194,2018-04-02,C,10,AMER,100000025,1199,DB,Capricorn II,Downhill Bike,1000000066,Wichita Sport,AMER,Iroquois,44.845124,-75.31828,CA,Janet,Gray,F,24,Y,N
88,EA,USD,7,50.0,500000015,400,CB-1162,20,350.0,100000032,2649.25,18544.75,21194,2018-04-02,C,10,AMER,100000034,400,CB,La Plage Limited,Cruiser,1000000066,Wichita Sport,AMER,Iroquois,44.845124,-75.31828,CA,Janet,Gray,F,24,Y,N
89,EA,USD,4,499.875,500000015,3999,MB-1033,30,3499.125,100000032,2649.25,18544.75,21194,2018-04-02,C,10,AMER,100000014,3999,MB,Mt Discovery Rush,Mountain Bike,1000000066,Wichita Sport,AMER,Iroquois,44.845124,-75.31828,CA,Janet,Gray,F,24,Y,N
